en;электронная пломба;electronic seal;Automatic identification of fleet and electronic seal of freight containers;An electronic seal is data in electronic form, which is attached to or logically associated with other data in electronic form to ensure the latter’s origin and integrity, where the creator of a seal is a legal person (unlike the electronic signature that is issued by a natural person).
en;оператор пломбирования;sealing operator;In order to harmonise the procedures, the so-called Consortium of sealing operators from the EEU countries (Eurasian Economic Union) was established, which includes operators from Kazakhstan, Armenia, Kyrgyzstan, Russia and Belarus.;An organization that has an information technology infrastructure that collects, processes, transmits and stores information received from electronic navigation seals that are an integral part of such infrastructure, authorized by the Ministry of Transport of the Russian Federation for the implementation of activities for the imposition (removal) and application ENS
ru;electronic seal;электронная пломба;Одним из применяемых устройств, разработанных на базе технологии радиочастотной идентификации, является электронная пломба;Электронная пломба – устройство, состоящее из электронного блока, в корпусе которого располагается механическая тросовая пломба (запорно-пломбировочное устройство), блок контроля целостности пломбы и блок контроля перемещения электронного блока с механической пломбой.
ru;sealing operator;оператор пломбирования;С целью унификации процедур был создан так называемый Консорциум операторов пломбирования государств ЕЭС (Евразийский экономический союз), в состав которого входят операторы из Казахстана, Армении, Кыргызстана, России и Беларуси.;Организация, имеющая информационно техническую инфраструктуру, осуществляющую сбор, обработку, передачу и хранение информации, получаемой от электронных навигационных пломб, являющихся неотъемлемой частью такой инфраструктуры, уполномоченная Министерством транспорта Российской Федерации на осуществление деятельности по наложению (снятию) и применению ЭНП
de;объемы сбыта;die Abnahmemenge;Hoher Absatz und leistungsfähige Logistik ermöglichen hohe Abnahmemengen, was günstige Einkaufskonditionen zur Folge hat.;Die Anzahl der Produkte, die ein Unternehmen oder eine Marke über einen bestimmten Zeitraum verkauft.
de;стрелочный перевод;Die Weiche;Weichen erhöhen die Kapazität einer Eisenbahnanlage. Sie bilden die Grundlage für eine effiziente Betriebsführung und die Voraussetzung für die Netzbildung. Allerdings unterliegen Weichen aufgrund ihrer konstruktiven Gestaltung einer besonderen dynamischen Beanspruchung.;Eine Weiche ist eine Gleiskonstruktion, die durch verstellbare Schienenendstücke (Weichenzungen genannt) eine Überleitung von einem Gleis auf ein anderes Gleis ohne Fahrtunterbrechung ermöglicht.
ru;Die Abnhamemenge;объемы сбыта;Ваше решение воспользоваться нашими услугами позволит вам найти новых заказчиков, увеличить объемы сбыта и, что наиболее важно, вы будете уверены в том, что услуги по переводу и локализации выполняются мастерами своего дела.;Количество продуктов предприятия или той или иной торговой марки, продаваемое в течение определенного периода времени. 
ru;Die Weiche;стрелочный перевод;Например, в 1909 году были применены электрические стрелочные переводы, приводившиеся в действие через контактный провод.;Стрелочный перевод — это наиболее широко распространённое устройство соединения путей, которое предназначено для перевода подвижного состава с одного пути на другой. Другими словами, стрелочный перевод позволяет подвижному составу переходить с главного пути на один (или более) примыкающий путь.
de;railroad switch;Die Weiche;Weichen erhöhen die Kapazität einer Eisenbahnanlage. Sie bilden die Grundlage für eine effiziente Betriebsführung und die Voraussetzung für die Netzbildung. Allerdings unterliegen Weichen aufgrund ihrer konstruktiven Gestaltung einer besonderen dynamischen Beanspruchung.;Eine Weiche ist eine Gleiskonstruktion, die durch verstellbare Schienenendstücke (Weichenzungen genannt) eine Überleitung von einem Gleis auf ein anderes Gleis ohne Fahrtunterbrechung ermöglicht.
de;sales volumes;Die Abnhamnemenge;Hoher Absatz und leistungsfähige Logistik ermöglichen hohe Abnahmemengen, was günstige Einkaufskonditionen zur Folge hat.;Die Anzahl der Produkte, die ein Unternehmen oder eine Marke über einen bestimmten Zeitraum verkauft.
en;Die Weiche;railroad switch;The railroad switch at Bitsevskiy park station, by means of which trains make a turnover, is located not in the tunnel, but at the station itself.;A railroad switch is a mechanical installation enabling railway trains to be guided from one track to another, such as at a railway junction or where a spur or siding branches off.
en;Die Abnhamnemenge;sales volumes;Either way, these companies face trouble, particularly with their low sales volumes.;Sales volume refers to the number of units your company sells during a specific reporting period.